Region;Regional_Unit;Museum;Month;Year;Visitors
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;10;2025;305
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;11;2025;230
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;12;2025;248
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Θέρμου;10;2012;109
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Θέρμου;11;2012;38
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Θέρμου;12;2012;29
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Θέρμου;1;2013;62
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Θέρμου;2;2013;35
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Θέρμου;3;2013;175
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Θέρμου;4;2013;630
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Θέρμου;5;2013;409
